mouseID	genotype	sex	drug_treatment	weight (g)	life_span (days)	tumor_weight (g)
1	WT	F	N	29	30	0
2	WT	F	N	30	30	0
3	WT	M	Y	30	29	0
4	WT	F	Y	28	30	0
5	Mut	M	Y	34	12	0.87
6	Mut	F	Y	26	13	1.16
7	WT	F	Y	20	30	0
8	Mut	M	Y	31	10	0.76
9	WT	F	Y	32	30	0
10	Mut	M	N	32	5	1.52
11	WT	F	Y	34	28	0
12	Mut	F	N	33	6	1.34
13	WT	F	Y	43	30	0.16
14	WT	M	Y	29	30	0
15	Mut	F	Y	34	14	0.72
16	WT	F	Y	25	30	0
17	WT	M	N	36	18	0.19
18	WT	F	Y	34	30	0
19	Mut	M	Y	27	12	0.93
20	Mut	F	N	34	6	1.43
21	Mut	M	Y	36	8	1.32
22	WT	F	Y	29	30	0
23	Mut	F	N	31	7	1.15
24	WT	F	N	37	30	0
25	WT	M	N	39	30	0
26	Mut	M	N	34	9	1.25
27	WT	M	N	27	30	0
28	WT	M	N	29	30	0
29	Mut	F	N	28	3	1.65
30	WT	M	N	35	30	0
31	WT	F	N	34	30	0
32	WT	M	N	27	30	0
33	Mut	F	Y	35	11	1.23
34	Mut	F	N	39	6	1.34
35	Mut	F	Y	40	13	0.95
36	Mut	M	N	25	7	1.24
37	Mut	M	Y	27	8	1.32
38	Mut	M	N	39	6	1.43
39	Mut	M	Y	38	14	1.03
40	Mut	M	N	40	8	1.32
