gene_id	TPM	file_accession
ENSG00000000419	4.51	ENCFF365ZMW
ENSG00000000457	0.78	ENCFF365ZMW
ENSG00000000971	1.95	ENCFF365ZMW
ENSG00000001036	1.01	ENCFF365ZMW
ENSG00000001084	3.4	ENCFF365ZMW
ENSG00000001167	0.7	ENCFF365ZMW
ENSG00000001461	1.45	ENCFF365ZMW
ENSG00000001497	1.3	ENCFF365ZMW
ENSG00000001561	1.0	ENCFF365ZMW
ENSG00000001629	2.28	ENCFF365ZMW
ENSG00000001630	1.66	ENCFF365ZMW
ENSG00000001631	4.22	ENCFF365ZMW
ENSG00000002016	1.24	ENCFF365ZMW
ENSG00000002330	8.74	ENCFF365ZMW
ENSG00000002549	2.58	ENCFF365ZMW
ENSG00000002586	11.74	ENCFF365ZMW
ENSG00000002822	1.25	ENCFF365ZMW
ENSG00000002834	2.47	ENCFF365ZMW
ENSG00000002919	1.1	ENCFF365ZMW
ENSG00000002933	1.25	ENCFF365ZMW
ENSG00000003056	3.87	ENCFF365ZMW
ENSG00000003096	0.75	ENCFF365ZMW
ENSG00000003147	0.53	ENCFF365ZMW
ENSG00000003393	1.18	ENCFF365ZMW
ENSG00000003402	9.7	ENCFF365ZMW
ENSG00000003436	5.03	ENCFF365ZMW
ENSG00000003509	1.63	ENCFF365ZMW
ENSG00000003756	10.36	ENCFF365ZMW
ENSG00000003989	0.73	ENCFF365ZMW
ENSG00000004059	9.52	ENCFF365ZMW
ENSG00000004142	3.62	ENCFF365ZMW
ENSG00000004399	3.06	ENCFF365ZMW
ENSG00000004455	6.82	ENCFF365ZMW
ENSG00000004478	2.06	ENCFF365ZMW
ENSG00000004487	3.57	ENCFF365ZMW
ENSG00000004534	5.52	ENCFF365ZMW
ENSG00000004660	0.79	ENCFF365ZMW
ENSG00000004700	2.71	ENCFF365ZMW
ENSG00000004766	1.33	ENCFF365ZMW
ENSG00000004776	3.62	ENCFF365ZMW
ENSG00000004779	10.92	ENCFF365ZMW
ENSG00000004799	65.04	ENCFF365ZMW
ENSG00000004864	1.12	ENCFF365ZMW
ENSG00000004866	1.83	ENCFF365ZMW
ENSG00000004897	2.5	ENCFF365ZMW
ENSG00000004961	1.08	ENCFF365ZMW
ENSG00000004975	2.32	ENCFF365ZMW
ENSG00000005007	2.96	ENCFF365ZMW
ENSG00000005020	1.15	ENCFF365ZMW
ENSG00000005022	21.59	ENCFF365ZMW
ENSG00000005059	0.65	ENCFF365ZMW
ENSG00000005073	1.52	ENCFF365ZMW
ENSG00000005075	1.71	ENCFF365ZMW
ENSG00000005100	0.58	ENCFF365ZMW
ENSG00000005156	1.19	ENCFF365ZMW
ENSG00000005175	1.78	ENCFF365ZMW
ENSG00000005187	1.1	ENCFF365ZMW
ENSG00000005194	1.33	ENCFF365ZMW
ENSG00000005206	0.89	ENCFF365ZMW
ENSG00000005238	1.37	ENCFF365ZMW
ENSG00000005243	3.53	ENCFF365ZMW
ENSG00000005249	1.95	ENCFF365ZMW
ENSG00000005302	1.38	ENCFF365ZMW
ENSG00000005339	2.41	ENCFF365ZMW
ENSG00000005379	1.19	ENCFF365ZMW
ENSG00000005436	2.17	ENCFF365ZMW
ENSG00000005448	0.81	ENCFF365ZMW
ENSG00000005469	0.95	ENCFF365ZMW
ENSG00000005483	6.41	ENCFF365ZMW
ENSG00000005486	0.88	ENCFF365ZMW
ENSG00000005700	1.6	ENCFF365ZMW
ENSG00000005801	0.94	ENCFF365ZMW
ENSG00000005810	5.9	ENCFF365ZMW
ENSG00000005812	5.84	ENCFF365ZMW
ENSG00000005882	2.97	ENCFF365ZMW
ENSG00000005884	1.22	ENCFF365ZMW
ENSG00000005889	4.98	ENCFF365ZMW
ENSG00000005893	4.68	ENCFF365ZMW
ENSG00000006007	4.79	ENCFF365ZMW
ENSG00000006015	4.67	ENCFF365ZMW
ENSG00000006042	4.27	ENCFF365ZMW
ENSG00000006062	0.57	ENCFF365ZMW
ENSG00000006125	3.25	ENCFF365ZMW
