gene_id	TPM	file_accession
ENSG00000000003	3.49	ENCFF408GFZ
ENSG00000000005	1.43	ENCFF408GFZ
ENSG00000000419	4.54	ENCFF408GFZ
ENSG00000000457	0.93	ENCFF408GFZ
ENSG00000000460	0.66	ENCFF408GFZ
ENSG00000000938	2.11	ENCFF408GFZ
ENSG00000000971	19.48	ENCFF408GFZ
ENSG00000001036	2.27	ENCFF408GFZ
ENSG00000001084	4.84	ENCFF408GFZ
ENSG00000001167	1.25	ENCFF408GFZ
ENSG00000001497	1.06	ENCFF408GFZ
ENSG00000001561	1.75	ENCFF408GFZ
ENSG00000001617	0.8	ENCFF408GFZ
ENSG00000001629	3.16	ENCFF408GFZ
ENSG00000001630	2.6	ENCFF408GFZ
ENSG00000001631	4.12	ENCFF408GFZ
ENSG00000002016	1.17	ENCFF408GFZ
ENSG00000002330	2.9	ENCFF408GFZ
ENSG00000002549	6.02	ENCFF408GFZ
ENSG00000002586	14.47	ENCFF408GFZ
ENSG00000002822	1.29	ENCFF408GFZ
ENSG00000002834	6.56	ENCFF408GFZ
ENSG00000002919	0.82	ENCFF408GFZ
ENSG00000002933	1.2	ENCFF408GFZ
ENSG00000003056	6.75	ENCFF408GFZ
ENSG00000003137	1.72	ENCFF408GFZ
ENSG00000003147	1.28	ENCFF408GFZ
ENSG00000003393	1.44	ENCFF408GFZ
ENSG00000003400	1.1	ENCFF408GFZ
ENSG00000003402	14.72	ENCFF408GFZ
ENSG00000003436	5.76	ENCFF408GFZ
ENSG00000003509	1.05	ENCFF408GFZ
ENSG00000003756	15.09	ENCFF408GFZ
ENSG00000003989	2.03	ENCFF408GFZ
ENSG00000004059	4.01	ENCFF408GFZ
ENSG00000004142	4.73	ENCFF408GFZ
ENSG00000004399	13.17	ENCFF408GFZ
ENSG00000004455	15.47	ENCFF408GFZ
ENSG00000004468	0.95	ENCFF408GFZ
ENSG00000004478	2.26	ENCFF408GFZ
ENSG00000004487	3.29	ENCFF408GFZ
ENSG00000004534	6.1	ENCFF408GFZ
ENSG00000004700	3.21	ENCFF408GFZ
ENSG00000004766	3.06	ENCFF408GFZ
ENSG00000004776	5.38	ENCFF408GFZ
ENSG00000004779	9.7	ENCFF408GFZ
ENSG00000004799	131.34	ENCFF408GFZ
ENSG00000004809	0.57	ENCFF408GFZ
ENSG00000004864	1.94	ENCFF408GFZ
ENSG00000004866	2.39	ENCFF408GFZ
ENSG00000004897	7.97	ENCFF408GFZ
ENSG00000004961	0.65	ENCFF408GFZ
ENSG00000004975	1.58	ENCFF408GFZ
ENSG00000005007	2.45	ENCFF408GFZ
ENSG00000005020	2.79	ENCFF408GFZ
ENSG00000005022	9.92	ENCFF408GFZ
ENSG00000005059	0.99	ENCFF408GFZ
ENSG00000005075	1.59	ENCFF408GFZ
ENSG00000005100	0.57	ENCFF408GFZ
ENSG00000005102	1.16	ENCFF408GFZ
ENSG00000005108	0.68	ENCFF408GFZ
ENSG00000005156	0.74	ENCFF408GFZ
ENSG00000005175	1.49	ENCFF408GFZ
ENSG00000005194	2.26	ENCFF408GFZ
ENSG00000005206	0.55	ENCFF408GFZ
ENSG00000005243	4.42	ENCFF408GFZ
ENSG00000005249	41.75	ENCFF408GFZ
ENSG00000005302	2.74	ENCFF408GFZ
ENSG00000005339	5.34	ENCFF408GFZ
ENSG00000005436	2.46	ENCFF408GFZ
ENSG00000005469	1.12	ENCFF408GFZ
ENSG00000005483	9.62	ENCFF408GFZ
ENSG00000005486	1.57	ENCFF408GFZ
ENSG00000005700	3.13	ENCFF408GFZ
ENSG00000005801	1.82	ENCFF408GFZ
ENSG00000005810	21.28	ENCFF408GFZ
ENSG00000005812	8.11	ENCFF408GFZ
ENSG00000005882	2.82	ENCFF408GFZ
ENSG00000005884	0.55	ENCFF408GFZ
ENSG00000005889	3.68	ENCFF408GFZ
ENSG00000005893	8.67	ENCFF408GFZ
ENSG00000006007	3.9	ENCFF408GFZ
