gene_id	TPM	file_accession
ENSG00000000003	6.16	ENCFF505TUS
ENSG00000000419	5.6	ENCFF505TUS
ENSG00000000457	2.8	ENCFF505TUS
ENSG00000000460	2.05	ENCFF505TUS
ENSG00000000938	1.92	ENCFF505TUS
ENSG00000000971	5.57	ENCFF505TUS
ENSG00000001036	5.79	ENCFF505TUS
ENSG00000001084	14.16	ENCFF505TUS
ENSG00000001167	8.55	ENCFF505TUS
ENSG00000001460	1.91	ENCFF505TUS
ENSG00000001461	22.04	ENCFF505TUS
ENSG00000001497	10.13	ENCFF505TUS
ENSG00000001561	2.99	ENCFF505TUS
ENSG00000001617	7.65	ENCFF505TUS
ENSG00000001626	0.53	ENCFF505TUS
ENSG00000001629	8.47	ENCFF505TUS
ENSG00000001630	21.34	ENCFF505TUS
ENSG00000001631	19.21	ENCFF505TUS
ENSG00000002016	5.4	ENCFF505TUS
ENSG00000002079	0.54	ENCFF505TUS
ENSG00000002330	24.75	ENCFF505TUS
ENSG00000002549	17.34	ENCFF505TUS
ENSG00000002586	176.26	ENCFF505TUS
ENSG00000002587	1.18	ENCFF505TUS
ENSG00000002726	0.54	ENCFF505TUS
ENSG00000002746	1.82	ENCFF505TUS
ENSG00000002822	16.27	ENCFF505TUS
ENSG00000002834	16.51	ENCFF505TUS
ENSG00000002919	2.82	ENCFF505TUS
ENSG00000002933	1.22	ENCFF505TUS
ENSG00000003056	24.99	ENCFF505TUS
ENSG00000003096	1.52	ENCFF505TUS
ENSG00000003137	12.05	ENCFF505TUS
ENSG00000003147	9.02	ENCFF505TUS
ENSG00000003249	0.93	ENCFF505TUS
ENSG00000003393	2.61	ENCFF505TUS
ENSG00000003400	1.73	ENCFF505TUS
ENSG00000003402	24.97	ENCFF505TUS
ENSG00000003436	3.5	ENCFF505TUS
ENSG00000003509	4.55	ENCFF505TUS
ENSG00000003756	45.95	ENCFF505TUS
ENSG00000003989	17.82	ENCFF505TUS
ENSG00000004059	34.22	ENCFF505TUS
ENSG00000004139	3.64	ENCFF505TUS
ENSG00000004142	24.83	ENCFF505TUS
ENSG00000004399	14.79	ENCFF505TUS
ENSG00000004455	21.15	ENCFF505TUS
ENSG00000004468	1.75	ENCFF505TUS
ENSG00000004478	9.76	ENCFF505TUS
ENSG00000004487	16.69	ENCFF505TUS
ENSG00000004534	31.09	ENCFF505TUS
ENSG00000004660	2.27	ENCFF505TUS
ENSG00000004700	4.12	ENCFF505TUS
ENSG00000004766	2.49	ENCFF505TUS
ENSG00000004776	13.87	ENCFF505TUS
ENSG00000004777	6.73	ENCFF505TUS
ENSG00000004779	14.54	ENCFF505TUS
ENSG00000004799	10.84	ENCFF505TUS
ENSG00000004838	7.41	ENCFF505TUS
ENSG00000004848	1.65	ENCFF505TUS
ENSG00000004864	7.37	ENCFF505TUS
ENSG00000004866	3.3	ENCFF505TUS
ENSG00000004897	13.59	ENCFF505TUS
ENSG00000004961	3.12	ENCFF505TUS
ENSG00000004975	20.56	ENCFF505TUS
ENSG00000005001	3.29	ENCFF505TUS
ENSG00000005007	30.27	ENCFF505TUS
ENSG00000005020	4.52	ENCFF505TUS
ENSG00000005022	41.87	ENCFF505TUS
ENSG00000005059	3.27	ENCFF505TUS
ENSG00000005073	1.51	ENCFF505TUS
ENSG00000005075	4.11	ENCFF505TUS
ENSG00000005100	2.34	ENCFF505TUS
ENSG00000005102	0.6	ENCFF505TUS
ENSG00000005108	1.75	ENCFF505TUS
ENSG00000005156	9.54	ENCFF505TUS
ENSG00000005175	4.69	ENCFF505TUS
ENSG00000005187	17.62	ENCFF505TUS
ENSG00000005189	11.87	ENCFF505TUS
ENSG00000005194	7.12	ENCFF505TUS
ENSG00000005206	15.4	ENCFF505TUS
ENSG00000005238	3.76	ENCFF505TUS
ENSG00000005243	3.19	ENCFF505TUS
ENSG00000005249	11.6	ENCFF505TUS
ENSG00000005302	5.48	ENCFF505TUS
ENSG00000005339	25.29	ENCFF505TUS
ENSG00000005379	6.26	ENCFF505TUS
ENSG00000005436	6.88	ENCFF505TUS
ENSG00000005448	3.42	ENCFF505TUS
ENSG00000005469	3.0	ENCFF505TUS
ENSG00000005483	14.47	ENCFF505TUS
ENSG00000005486	17.93	ENCFF505TUS
ENSG00000005513	2.1	ENCFF505TUS
ENSG00000005700	3.35	ENCFF505TUS
ENSG00000005801	6.46	ENCFF505TUS
ENSG00000005810	23.3	ENCFF505TUS
ENSG00000005812	19.99	ENCFF505TUS
ENSG00000005844	2.24	ENCFF505TUS
ENSG00000005882	14.03	ENCFF505TUS
ENSG00000005884	11.84	ENCFF505TUS
ENSG00000005889	7.7	ENCFF505TUS
ENSG00000005893	27.52	ENCFF505TUS
ENSG00000006007	11.98	ENCFF505TUS
ENSG00000006015	17.49	ENCFF505TUS
ENSG00000006016	2.23	ENCFF505TUS
ENSG00000006025	3.4	ENCFF505TUS
ENSG00000006042	17.37	ENCFF505TUS
ENSG00000006047	8.69	ENCFF505TUS
ENSG00000006062	2.26	ENCFF505TUS
ENSG00000006071	1.7	ENCFF505TUS
ENSG00000006118	7.87	ENCFF505TUS
ENSG00000006125	16.43	ENCFF505TUS
ENSG00000006194	15.7	ENCFF505TUS
ENSG00000006210	9.29	ENCFF505TUS
ENSG00000006282	36.87	ENCFF505TUS
ENSG00000006283	1.17	ENCFF505TUS
ENSG00000006327	10.43	ENCFF505TUS
ENSG00000006377	0.72	ENCFF505TUS
ENSG00000006432	1.68	ENCFF505TUS
ENSG00000006451	2.6	ENCFF505TUS
ENSG00000006453	4.36	ENCFF505TUS
ENSG00000006459	4.7	ENCFF505TUS
ENSG00000006468	1.65	ENCFF505TUS
ENSG00000006530	3.83	ENCFF505TUS
ENSG00000006534	1.4	ENCFF505TUS
ENSG00000006555	3.17	ENCFF505TUS
ENSG00000006576	3.05	ENCFF505TUS
ENSG00000006607	5.73	ENCFF505TUS
ENSG00000006625	2.61	ENCFF505TUS
ENSG00000006634	4.4	ENCFF505TUS
ENSG00000006638	0.7	ENCFF505TUS
ENSG00000006652	10.34	ENCFF505TUS
ENSG00000006695	6.21	ENCFF505TUS
ENSG00000006704	6.48	ENCFF505TUS
