gene_id	TPM	file_accession
ENSG00000000003	3.54	ENCFF633OSJ
ENSG00000000419	9.56	ENCFF633OSJ
ENSG00000000457	3.81	ENCFF633OSJ
ENSG00000000460	1.88	ENCFF633OSJ
ENSG00000000938	2.17	ENCFF633OSJ
ENSG00000000971	3.03	ENCFF633OSJ
ENSG00000001036	2.19	ENCFF633OSJ
ENSG00000001084	14.53	ENCFF633OSJ
ENSG00000001167	5.75	ENCFF633OSJ
ENSG00000001460	1.9	ENCFF633OSJ
ENSG00000001461	15.41	ENCFF633OSJ
ENSG00000001497	8.4	ENCFF633OSJ
ENSG00000001561	1.36	ENCFF633OSJ
ENSG00000001617	44.41	ENCFF633OSJ
ENSG00000001626	2.51	ENCFF633OSJ
ENSG00000001629	14.28	ENCFF633OSJ
ENSG00000001630	10.35	ENCFF633OSJ
ENSG00000001631	17.12	ENCFF633OSJ
ENSG00000002016	4.09	ENCFF633OSJ
ENSG00000002330	13.51	ENCFF633OSJ
ENSG00000002549	17.16	ENCFF633OSJ
ENSG00000002586	40.55	ENCFF633OSJ
ENSG00000002587	0.52	ENCFF633OSJ
ENSG00000002726	1.3	ENCFF633OSJ
ENSG00000002745	2.75	ENCFF633OSJ
ENSG00000002822	16.02	ENCFF633OSJ
ENSG00000002834	29.36	ENCFF633OSJ
ENSG00000002919	3.89	ENCFF633OSJ
ENSG00000002933	1.16	ENCFF633OSJ
ENSG00000003056	28.1	ENCFF633OSJ
ENSG00000003137	19.7	ENCFF633OSJ
ENSG00000003147	10.26	ENCFF633OSJ
ENSG00000003249	0.51	ENCFF633OSJ
ENSG00000003393	5.04	ENCFF633OSJ
ENSG00000003400	1.56	ENCFF633OSJ
ENSG00000003402	37.06	ENCFF633OSJ
ENSG00000003436	5.42	ENCFF633OSJ
ENSG00000003509	2.79	ENCFF633OSJ
ENSG00000003756	59.97	ENCFF633OSJ
ENSG00000003989	5.19	ENCFF633OSJ
ENSG00000004059	55.52	ENCFF633OSJ
ENSG00000004139	4.03	ENCFF633OSJ
ENSG00000004142	24.35	ENCFF633OSJ
ENSG00000004399	12.08	ENCFF633OSJ
ENSG00000004455	28.78	ENCFF633OSJ
ENSG00000004478	15.51	ENCFF633OSJ
ENSG00000004487	10.76	ENCFF633OSJ
ENSG00000004534	24.27	ENCFF633OSJ
ENSG00000004660	2.56	ENCFF633OSJ
ENSG00000004700	6.12	ENCFF633OSJ
ENSG00000004766	4.11	ENCFF633OSJ
ENSG00000004776	3.17	ENCFF633OSJ
ENSG00000004777	4.87	ENCFF633OSJ
ENSG00000004779	18.56	ENCFF633OSJ
ENSG00000004799	19.93	ENCFF633OSJ
ENSG00000004864	8.61	ENCFF633OSJ
