gene_id	TPM	file_accession
ENSG00000000003	7.67	ENCFF863ERP
ENSG00000000419	7.23	ENCFF863ERP
ENSG00000000457	2.65	ENCFF863ERP
ENSG00000000460	3.96	ENCFF863ERP
ENSG00000000938	1.62	ENCFF863ERP
ENSG00000000971	4.25	ENCFF863ERP
ENSG00000001036	4.77	ENCFF863ERP
ENSG00000001084	7.3	ENCFF863ERP
ENSG00000001167	11.45	ENCFF863ERP
ENSG00000001460	4.07	ENCFF863ERP
ENSG00000001461	7.46	ENCFF863ERP
ENSG00000001497	14.25	ENCFF863ERP
ENSG00000001561	3.42	ENCFF863ERP
ENSG00000001617	1.13	ENCFF863ERP
ENSG00000001626	0.7	ENCFF863ERP
ENSG00000001629	13.7	ENCFF863ERP
ENSG00000001630	23.77	ENCFF863ERP
ENSG00000001631	23.88	ENCFF863ERP
ENSG00000002016	3.39	ENCFF863ERP
ENSG00000002079	0.72	ENCFF863ERP
ENSG00000002330	14.39	ENCFF863ERP
ENSG00000002549	16.04	ENCFF863ERP
ENSG00000002586	162.44	ENCFF863ERP
ENSG00000002587	1.43	ENCFF863ERP
ENSG00000002746	0.53	ENCFF863ERP
ENSG00000002822	15.37	ENCFF863ERP
ENSG00000002834	13.5	ENCFF863ERP
ENSG00000002919	3.3	ENCFF863ERP
ENSG00000002933	0.67	ENCFF863ERP
ENSG00000003056	26.93	ENCFF863ERP
ENSG00000003096	1.44	ENCFF863ERP
ENSG00000003137	13.98	ENCFF863ERP
ENSG00000003147	5.4	ENCFF863ERP
ENSG00000003249	0.83	ENCFF863ERP
ENSG00000003393	3.11	ENCFF863ERP
ENSG00000003400	0.85	ENCFF863ERP
ENSG00000003402	18.99	ENCFF863ERP
ENSG00000003436	1.7	ENCFF863ERP
ENSG00000003509	7.65	ENCFF863ERP
ENSG00000003756	59.77	ENCFF863ERP
ENSG00000003989	17.44	ENCFF863ERP
ENSG00000004059	30.8	ENCFF863ERP
ENSG00000004139	3.02	ENCFF863ERP
ENSG00000004142	23.2	ENCFF863ERP
ENSG00000004399	14.25	ENCFF863ERP
ENSG00000004455	35.45	ENCFF863ERP
ENSG00000004478	10.41	ENCFF863ERP
ENSG00000004487	21.78	ENCFF863ERP
ENSG00000004534	34.39	ENCFF863ERP
ENSG00000004660	3.19	ENCFF863ERP
ENSG00000004700	3.5	ENCFF863ERP
ENSG00000004766	3.71	ENCFF863ERP
ENSG00000004776	8.25	ENCFF863ERP
ENSG00000004777	9.11	ENCFF863ERP
ENSG00000004779	12.9	ENCFF863ERP
ENSG00000004799	5.34	ENCFF863ERP
ENSG00000004809	2.79	ENCFF863ERP
ENSG00000004838	39.18	ENCFF863ERP
ENSG00000004848	2.17	ENCFF863ERP
ENSG00000004864	5.75	ENCFF863ERP
ENSG00000004866	3.76	ENCFF863ERP
ENSG00000004897	12.09	ENCFF863ERP
ENSG00000004961	2.82	ENCFF863ERP
ENSG00000004975	16.61	ENCFF863ERP
ENSG00000005007	30.59	ENCFF863ERP
ENSG00000005020	5.5	ENCFF863ERP
ENSG00000005022	39.98	ENCFF863ERP
ENSG00000005059	3.8	ENCFF863ERP
ENSG00000005075	7.47	ENCFF863ERP
ENSG00000005100	2.85	ENCFF863ERP
ENSG00000005108	1.11	ENCFF863ERP
ENSG00000005156	11.53	ENCFF863ERP
ENSG00000005175	4.05	ENCFF863ERP
ENSG00000005187	19.47	ENCFF863ERP
ENSG00000005189	37.05	ENCFF863ERP
ENSG00000005194	12.15	ENCFF863ERP
ENSG00000005206	25.59	ENCFF863ERP
ENSG00000005238	2.59	ENCFF863ERP
ENSG00000005243	2.39	ENCFF863ERP
ENSG00000005249	13.27	ENCFF863ERP
ENSG00000005302	8.78	ENCFF863ERP
ENSG00000005339	30.07	ENCFF863ERP
ENSG00000005379	2.21	ENCFF863ERP
ENSG00000005436	5.36	ENCFF863ERP
ENSG00000005448	5.13	ENCFF863ERP
ENSG00000005469	1.7	ENCFF863ERP
ENSG00000005483	15.85	ENCFF863ERP
ENSG00000005486	17.22	ENCFF863ERP
ENSG00000005513	3.19	ENCFF863ERP
ENSG00000005700	3.87	ENCFF863ERP
ENSG00000005801	3.08	ENCFF863ERP
ENSG00000005810	30.51	ENCFF863ERP
ENSG00000005812	18.08	ENCFF863ERP
ENSG00000005882	10.06	ENCFF863ERP
ENSG00000005884	4.98	ENCFF863ERP
ENSG00000005889	7.31	ENCFF863ERP
ENSG00000005893	21.03	ENCFF863ERP
ENSG00000005961	0.83	ENCFF863ERP
ENSG00000006007	6.89	ENCFF863ERP
ENSG00000006015	9.53	ENCFF863ERP
ENSG00000006016	0.7	ENCFF863ERP
ENSG00000006025	1.19	ENCFF863ERP
ENSG00000006042	10.85	ENCFF863ERP
ENSG00000006047	44.82	ENCFF863ERP
ENSG00000006062	1.96	ENCFF863ERP
ENSG00000006118	6.32	ENCFF863ERP
ENSG00000006125	21.46	ENCFF863ERP
ENSG00000006194	9.46	ENCFF863ERP
ENSG00000006210	1.37	ENCFF863ERP
