gene_id	TPM	file_accession
ENSG00000000003	0.81	ENCFF916ODF
ENSG00000000419	0.86	ENCFF916ODF
ENSG00000000938	0.76	ENCFF916ODF
ENSG00000000971	1.51	ENCFF916ODF
ENSG00000001036	0.8	ENCFF916ODF
ENSG00000001084	2.5	ENCFF916ODF
ENSG00000001167	0.94	ENCFF916ODF
ENSG00000001461	0.86	ENCFF916ODF
ENSG00000001497	0.73	ENCFF916ODF
ENSG00000001617	3.2	ENCFF916ODF
ENSG00000001629	1.14	ENCFF916ODF
ENSG00000001630	1.6	ENCFF916ODF
ENSG00000001631	4.03	ENCFF916ODF
ENSG00000002016	1.64	ENCFF916ODF
ENSG00000002330	3.42	ENCFF916ODF
ENSG00000002549	3.18	ENCFF916ODF
ENSG00000002586	11.29	ENCFF916ODF
ENSG00000002822	2.55	ENCFF916ODF
ENSG00000002834	2.83	ENCFF916ODF
ENSG00000002919	0.62	ENCFF916ODF
ENSG00000002933	1.79	ENCFF916ODF
ENSG00000003056	4.01	ENCFF916ODF
ENSG00000003147	1.06	ENCFF916ODF
ENSG00000003402	5.91	ENCFF916ODF
ENSG00000003436	2.81	ENCFF916ODF
ENSG00000003509	0.76	ENCFF916ODF
ENSG00000003756	11.08	ENCFF916ODF
ENSG00000003989	1.41	ENCFF916ODF
ENSG00000004059	5.62	ENCFF916ODF
ENSG00000004142	1.88	ENCFF916ODF
ENSG00000004399	3.95	ENCFF916ODF
ENSG00000004455	4.82	ENCFF916ODF
ENSG00000004478	1.88	ENCFF916ODF
ENSG00000004487	2.13	ENCFF916ODF
ENSG00000004534	2.92	ENCFF916ODF
ENSG00000004700	0.64	ENCFF916ODF
ENSG00000004766	0.53	ENCFF916ODF
ENSG00000004776	9.74	ENCFF916ODF
ENSG00000004777	1.44	ENCFF916ODF
ENSG00000004779	2.81	ENCFF916ODF
ENSG00000004799	16.33	ENCFF916ODF
ENSG00000004864	1.04	ENCFF916ODF
ENSG00000004866	0.62	ENCFF916ODF
ENSG00000004897	3.73	ENCFF916ODF
ENSG00000004961	0.51	ENCFF916ODF
ENSG00000004975	2.17	ENCFF916ODF
ENSG00000005001	1.58	ENCFF916ODF
ENSG00000005007	3.19	ENCFF916ODF
ENSG00000005020	0.52	ENCFF916ODF
ENSG00000005022	12.4	ENCFF916ODF
ENSG00000005059	1.17	ENCFF916ODF
ENSG00000005075	0.82	ENCFF916ODF
ENSG00000005100	0.57	ENCFF916ODF
ENSG00000005156	1.23	ENCFF916ODF
ENSG00000005175	0.78	ENCFF916ODF
ENSG00000005187	2.88	ENCFF916ODF
ENSG00000005194	1.15	ENCFF916ODF
ENSG00000005206	2.22	ENCFF916ODF
ENSG00000005243	1.41	ENCFF916ODF
ENSG00000005249	0.67	ENCFF916ODF
ENSG00000005302	0.87	ENCFF916ODF
ENSG00000005339	4.16	ENCFF916ODF
ENSG00000005436	1.46	ENCFF916ODF
ENSG00000005469	1.56	ENCFF916ODF
ENSG00000005483	4.04	ENCFF916ODF
ENSG00000005486	1.39	ENCFF916ODF
ENSG00000005700	0.64	ENCFF916ODF
ENSG00000005801	0.51	ENCFF916ODF
ENSG00000005810	7.81	ENCFF916ODF
ENSG00000005812	2.44	ENCFF916ODF
ENSG00000005882	1.82	ENCFF916ODF
ENSG00000005884	2.08	ENCFF916ODF
ENSG00000005889	2.56	ENCFF916ODF
ENSG00000005893	4.33	ENCFF916ODF
ENSG00000006007	1.27	ENCFF916ODF
ENSG00000006015	5.05	ENCFF916ODF
ENSG00000006016	0.62	ENCFF916ODF
ENSG00000006042	3.48	ENCFF916ODF
ENSG00000006071	0.53	ENCFF916ODF
ENSG00000006125	2.56	ENCFF916ODF
ENSG00000006194	1.22	ENCFF916ODF
ENSG00000006210	1.01	ENCFF916ODF
ENSG00000006282	3.02	ENCFF916ODF
ENSG00000006327	0.51	ENCFF916ODF
ENSG00000006451	0.82	ENCFF916ODF
ENSG00000006453	0.71	ENCFF916ODF
ENSG00000006459	1.01	ENCFF916ODF
ENSG00000006530	0.8	ENCFF916ODF
ENSG00000006534	0.91	ENCFF916ODF
ENSG00000006555	1.78	ENCFF916ODF
ENSG00000006607	1.35	ENCFF916ODF
ENSG00000006625	0.88	ENCFF916ODF
ENSG00000006652	2.88	ENCFF916ODF
ENSG00000006695	1.13	ENCFF916ODF
ENSG00000006704	1.38	ENCFF916ODF
ENSG00000006712	2.88	ENCFF916ODF
ENSG00000006715	1.9	ENCFF916ODF
ENSG00000006744	5.47	ENCFF916ODF
ENSG00000006756	0.57	ENCFF916ODF
ENSG00000006831	2.21	ENCFF916ODF
ENSG00000007047	0.68	ENCFF916ODF
ENSG00000007080	2.45	ENCFF916ODF
ENSG00000007168	4.17	ENCFF916ODF
ENSG00000007202	2.68	ENCFF916ODF
ENSG00000007237	1.93	ENCFF916ODF
ENSG00000007255	1.18	ENCFF916ODF
ENSG00000007341	0.69	ENCFF916ODF
ENSG00000007376	0.7	ENCFF916ODF
ENSG00000007384	3.56	ENCFF916ODF
ENSG00000007392	3.25	ENCFF916ODF
ENSG00000007520	2.48	ENCFF916ODF
ENSG00000007541	1.0	ENCFF916ODF
ENSG00000007545	0.56	ENCFF916ODF
ENSG00000007866	1.19	ENCFF916ODF
ENSG00000007923	1.19	ENCFF916ODF
ENSG00000007944	1.25	ENCFF916ODF
ENSG00000008018	3.78	ENCFF916ODF
ENSG00000008083	0.73	ENCFF916ODF
ENSG00000008128	1.46	ENCFF916ODF
ENSG00000008130	3.69	ENCFF916ODF
ENSG00000008256	1.2	ENCFF916ODF
ENSG00000008282	3.14	ENCFF916ODF
ENSG00000008283	1.89	ENCFF916ODF
ENSG00000008294	3.78	ENCFF916ODF
ENSG00000008311	1.41	ENCFF916ODF
ENSG00000008323	0.61	ENCFF916ODF
ENSG00000008324	0.71	ENCFF916ODF
ENSG00000008394	11.94	ENCFF916ODF
ENSG00000008405	0.76	ENCFF916ODF
ENSG00000008441	3.35	ENCFF916ODF
ENSG00000008513	1.23	ENCFF916ODF
ENSG00000008517	0.53	ENCFF916ODF
ENSG00000008710	6.25	ENCFF916ODF
ENSG00000008838	4.34	ENCFF916ODF
ENSG00000008869	1.57	ENCFF916ODF
ENSG00000008952	1.56	ENCFF916ODF
ENSG00000008988	148.65	ENCFF916ODF
ENSG00000009307	11.37	ENCFF916ODF
ENSG00000009335	2.85	ENCFF916ODF
ENSG00000009413	1.39	ENCFF916ODF
ENSG00000009780	0.68	ENCFF916ODF
ENSG00000009830	1.36	ENCFF916ODF
ENSG00000009844	1.9	ENCFF916ODF
ENSG00000009954	1.86	ENCFF916ODF
ENSG00000010017	2.07	ENCFF916ODF
ENSG00000010072	0.93	ENCFF916ODF
ENSG00000010165	0.63	ENCFF916ODF
ENSG00000010219	0.79	ENCFF916ODF
ENSG00000010244	7.9	ENCFF916ODF
ENSG00000010256	7.77	ENCFF916ODF
ENSG00000010270	1.2	ENCFF916ODF
ENSG00000010278	15.01	ENCFF916ODF
ENSG00000010292	1.04	ENCFF916ODF
ENSG00000010295	0.87	ENCFF916ODF
ENSG00000010318	0.64	ENCFF916ODF
ENSG00000010322	4.2	ENCFF916ODF
ENSG00000010327	5.07	ENCFF916ODF
ENSG00000010404	2.7	ENCFF916ODF
ENSG00000010610	0.58	ENCFF916ODF
ENSG00000010803	1.43	ENCFF916ODF
ENSG00000010810	5.33	ENCFF916ODF
ENSG00000010818	1.0	ENCFF916ODF
ENSG00000011007	1.04	ENCFF916ODF
ENSG00000011009	2.3	ENCFF916ODF
ENSG00000011021	0.73	ENCFF916ODF
ENSG00000011028	3.66	ENCFF916ODF
ENSG00000011105	1.06	ENCFF916ODF
ENSG00000011114	1.16	ENCFF916ODF
ENSG00000011132	1.89	ENCFF916ODF
ENSG00000011143	0.53	ENCFF916ODF
ENSG00000011198	1.65	ENCFF916ODF
ENSG00000011243	5.18	ENCFF916ODF
ENSG00000011258	0.82	ENCFF916ODF
ENSG00000011260	1.04	ENCFF916ODF
ENSG00000011275	1.14	ENCFF916ODF
ENSG00000011295	4.08	ENCFF916ODF
ENSG00000011304	9.39	ENCFF916ODF
ENSG00000011405	2.13	ENCFF916ODF
ENSG00000011422	0.66	ENCFF916ODF
ENSG00000011426	0.78	ENCFF916ODF
ENSG00000011451	1.82	ENCFF916ODF
ENSG00000011454	2.46	ENCFF916ODF
ENSG00000011465	63.58	ENCFF916ODF
ENSG00000011485	2.47	ENCFF916ODF
ENSG00000011523	1.02	ENCFF916ODF
ENSG00000011566	1.58	ENCFF916ODF
ENSG00000011600	2.8	ENCFF916ODF
ENSG00000011638	2.61	ENCFF916ODF
ENSG00000012061	5.01	ENCFF916ODF
ENSG00000012171	1.35	ENCFF916ODF
ENSG00000012211	1.09	ENCFF916ODF
ENSG00000012232	1.05	ENCFF916ODF
ENSG00000012660	1.74	ENCFF916ODF
ENSG00000012779	0.93	ENCFF916ODF
ENSG00000012822	5.37	ENCFF916ODF
ENSG00000012963	1.41	ENCFF916ODF
ENSG00000012983	6.46	ENCFF916ODF
ENSG00000013275	3.06	ENCFF916ODF
ENSG00000013288	1.08	ENCFF916ODF
ENSG00000013297	5.58	ENCFF916ODF
ENSG00000013306	3.81	ENCFF916ODF
ENSG00000013364	4.55	ENCFF916ODF
ENSG00000013374	1.89	ENCFF916ODF
ENSG00000013441	7.55	ENCFF916ODF
ENSG00000013523	0.54	ENCFF916ODF
ENSG00000013561	1.55	ENCFF916ODF
ENSG00000013563	2.13	ENCFF916ODF
ENSG00000013573	1.45	ENCFF916ODF
ENSG00000013583	1.95	ENCFF916ODF
ENSG00000013588	0.96	ENCFF916ODF
ENSG00000013810	0.65	ENCFF916ODF
ENSG00000014123	0.73	ENCFF916ODF
ENSG00000014138	0.65	ENCFF916ODF
ENSG00000014164	0.68	ENCFF916ODF
ENSG00000014216	12.37	ENCFF916ODF
ENSG00000014641	5.06	ENCFF916ODF
ENSG00000014824	2.07	ENCFF916ODF
ENSG00000014914	0.68	ENCFF916ODF
ENSG00000014919	0.79	ENCFF916ODF
ENSG00000015133	1.73	ENCFF916ODF
