gene_id	TPM	file_accession
ENSG00000000460	2.18	ENCFF918KPC
ENSG00000000971	2.92	ENCFF918KPC
ENSG00000001084	3.32	ENCFF918KPC
ENSG00000001461	2.22	ENCFF918KPC
ENSG00000001617	0.71	ENCFF918KPC
ENSG00000001629	2.71	ENCFF918KPC
ENSG00000001631	5.64	ENCFF918KPC
ENSG00000002016	0.98	ENCFF918KPC
ENSG00000002330	1.46	ENCFF918KPC
ENSG00000002549	1.87	ENCFF918KPC
ENSG00000002586	3.9	ENCFF918KPC
ENSG00000002822	0.56	ENCFF918KPC
ENSG00000002834	3.14	ENCFF918KPC
ENSG00000002919	0.81	ENCFF918KPC
ENSG00000003056	1.11	ENCFF918KPC
ENSG00000003147	10.27	ENCFF918KPC
ENSG00000003249	0.59	ENCFF918KPC
ENSG00000003402	9.53	ENCFF918KPC
ENSG00000003436	1.29	ENCFF918KPC
ENSG00000003756	5.53	ENCFF918KPC
ENSG00000004059	1.81	ENCFF918KPC
ENSG00000004139	0.61	ENCFF918KPC
ENSG00000004142	1.81	ENCFF918KPC
ENSG00000004399	1.19	ENCFF918KPC
ENSG00000004455	1.6	ENCFF918KPC
ENSG00000004478	0.64	ENCFF918KPC
ENSG00000004487	1.93	ENCFF918KPC
ENSG00000004534	3.4	ENCFF918KPC
ENSG00000004776	5.0	ENCFF918KPC
ENSG00000004777	0.58	ENCFF918KPC
ENSG00000004779	1.66	ENCFF918KPC
ENSG00000004799	1.88	ENCFF918KPC
ENSG00000004866	0.68	ENCFF918KPC
ENSG00000005007	0.59	ENCFF918KPC
ENSG00000005020	2.85	ENCFF918KPC
ENSG00000005022	3.44	ENCFF918KPC
ENSG00000005156	1.84	ENCFF918KPC
ENSG00000005187	1.76	ENCFF918KPC
ENSG00000005189	0.71	ENCFF918KPC
ENSG00000005194	3.29	ENCFF918KPC
ENSG00000005206	2.42	ENCFF918KPC
ENSG00000005243	0.57	ENCFF918KPC
ENSG00000005339	2.04	ENCFF918KPC
ENSG00000005379	1.9	ENCFF918KPC
ENSG00000005483	1.6	ENCFF918KPC
ENSG00000005486	0.56	ENCFF918KPC
ENSG00000005700	0.71	ENCFF918KPC
ENSG00000005810	0.56	ENCFF918KPC
ENSG00000005882	1.43	ENCFF918KPC
ENSG00000005884	6.1	ENCFF918KPC
ENSG00000005889	0.77	ENCFF918KPC
ENSG00000005893	0.8	ENCFF918KPC
ENSG00000006007	0.85	ENCFF918KPC
ENSG00000006015	1.92	ENCFF918KPC
ENSG00000006025	1.38	ENCFF918KPC
ENSG00000006042	1.06	ENCFF918KPC
ENSG00000006071	0.83	ENCFF918KPC
ENSG00000006125	1.6	ENCFF918KPC
ENSG00000006194	1.04	ENCFF918KPC
ENSG00000006282	27.26	ENCFF918KPC
ENSG00000006327	1.74	ENCFF918KPC
ENSG00000006451	0.86	ENCFF918KPC
ENSG00000006453	1.58	ENCFF918KPC
ENSG00000006459	0.55	ENCFF918KPC
ENSG00000006576	0.96	ENCFF918KPC
