gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM	posterior_mean_count	posterior_standard_deviation_of_count	pme_TPM	pme_FPKM	TPM_ci_lower_bound	TPM_ci_upper_bound	FPKM_ci_lower_bound	FPKM_ci_upper_bound
ENSG00000000003.14	ENST00000373020.8,ENST00000494424.1,ENST00000496771.5,ENST00000612152.4,ENST00000614008.4	2153.03	1866.13	418.00	3.53	8.27	418.00	0.00	3.58	8.56	3.19468	3.96316	7.63798	9.47489
ENSG00000000005.5	ENST00000373031.4,ENST00000485971.1	959.57	672.69	53.00	1.24	2.91	53.00	0.00	1.28	3.07	0.88184	1.7299	2.11048	4.13795
ENSG00000000419.12	ENST00000371582.8,ENST00000371584.8,ENST00000371588.9,ENST00000413082.1,ENST00000466152.5,ENST00000494752.1	1077.13	790.24	131.00	2.62	6.12	131.00	0.00	2.74	6.54	2.27276	3.21858	5.42396	7.68528
ENSG00000000457.13	ENST00000367770.5,ENST00000367771.10,ENST00000367772.8,ENST00000423670.1,ENST00000470238.1	3382.29	3095.39	215.00	1.10	2.57	215.00	0.00	1.12	2.67	0.91092	1.32632	2.18188	3.17525
ENSG00000000460.16	ENST00000286031.10,ENST00000359326.8,ENST00000413811.3,ENST00000459772.5,ENST00000466580.6,ENST00000472795.5,ENST00000481744.5,ENST00000496973.5,ENST00000498289.5	1957.79	1670.89	80.00	0.76	1.77	80.00	0.00	0.87	2.08	0.609586	1.151	1.4522	2.74707
ENSG00000000938.12	ENST00000374003.7,ENST00000374004.5,ENST00000374005.7,ENST00000399173.5,ENST00000457296.5,ENST00000468038.1,ENST00000475472.5	1788.71	1501.81	671.00	7.05	16.50	671.00	0.00	6.95	16.62	6.24268	7.66051	14.9358	18.3255
ENSG00000000971.15	ENST00000359637.2,ENST00000367429.8,ENST00000466229.5,ENST00000470918.1,ENST00000496761.1,ENST00000630130.2	3140.94	2854.05	750.00	4.15	9.71	750.00	0.00	4.23	10.10	3.66556	4.84236	8.7453	11.5594
ENSG00000001036.13	ENST00000002165.10,ENST00000367585.1,ENST00000451668.1	2000.61	1713.71	289.00	2.66	6.23	289.00	0.00	2.73	6.52	2.1471	3.32859	5.13827	7.96355
ENSG00000001084.10	ENST00000229416.10,ENST00000504353.1,ENST00000504525.1,ENST00000505197.1,ENST00000505294.5,ENST00000509541.5,ENST00000510837.5,ENST00000513939.5,ENST00000514004.5,ENST00000514373.2,ENST00000514933.1,ENST00000515580.1,ENST00000616923.4	2574.82	2287.93	373.00	2.57	6.02	373.00	0.00	3.60	8.61	2.57715	4.71027	6.17688	11.2768
ENSG00000001167.14	ENST00000341376.10,ENST00000353205.5	3200.98	2914.08	304.00	1.65	3.85	304.00	0.00	1.62	3.88	1.39779	1.84206	3.34169	4.40355
ENSG00000001460.17	ENST00000003583.12,ENST00000337248.8,ENST00000374409.5,ENST00000435187.1,ENST00000438866.1,ENST00000468303.5,ENST00000475760.1,ENST00000483261.1,ENST00000483528.1,ENST00000492753.1,ENST00000497384.1,ENST00000498488.5	2696.61	2409.71	40.00	0.26	0.61	40.00	0.00	1.15	2.74	0.393766	2.32653	0.933023	5.55487
ENSG00000001461.16	ENST00000003912.7,ENST00000339255.2,ENST00000358028.8,ENST00000374399.8,ENST00000432012.1,ENST00000475663.2,ENST00000488155.1	3153.97	2867.07	440.00	2.42	5.67	440.00	0.00	2.47	5.91	2.15766	2.79429	5.16448	6.68595
ENSG00000001497.16	ENST00000374804.9,ENST00000374807.9,ENST00000374811.7,ENST00000469091.1,ENST00000484069.1	2084.42	1797.55	228.00	2.00	4.68	228.00	0.00	2.07	4.94	1.59995	2.57529	3.83336	6.16593
ENSG00000001561.6	ENST00000321037.4	4651.00	4364.10	481.00	1.74	4.07	481.00	0.00	1.69	4.05	1.5428	1.84372	3.68743	4.40655
