gene_id	TPM	file_accession
ENSG00000000003	3.53	ENCFF016CBS
ENSG00000000005	1.24	ENCFF016CBS
ENSG00000000419	2.62	ENCFF016CBS
ENSG00000000457	1.1	ENCFF016CBS
ENSG00000000460	0.76	ENCFF016CBS
ENSG00000000938	7.05	ENCFF016CBS
ENSG00000000971	4.15	ENCFF016CBS
ENSG00000001036	2.66	ENCFF016CBS
ENSG00000001084	2.57	ENCFF016CBS
ENSG00000001167	1.65	ENCFF016CBS
ENSG00000001461	2.42	ENCFF016CBS
ENSG00000001497	2.0	ENCFF016CBS
ENSG00000001561	1.74	ENCFF016CBS
ENSG00000001617	2.94	ENCFF016CBS
ENSG00000001629	3.51	ENCFF016CBS
ENSG00000001630	1.42	ENCFF016CBS
ENSG00000001631	5.43	ENCFF016CBS
ENSG00000002016	0.98	ENCFF016CBS
ENSG00000002330	5.71	ENCFF016CBS
ENSG00000002549	14.71	ENCFF016CBS
ENSG00000002586	20.49	ENCFF016CBS
ENSG00000002822	2.49	ENCFF016CBS
ENSG00000002834	11.11	ENCFF016CBS
ENSG00000002919	1.22	ENCFF016CBS
ENSG00000002933	1.15	ENCFF016CBS
ENSG00000003056	6.65	ENCFF016CBS
ENSG00000003137	0.67	ENCFF016CBS
ENSG00000003147	3.9	ENCFF016CBS
ENSG00000003393	1.3	ENCFF016CBS
ENSG00000003400	2.98	ENCFF016CBS
ENSG00000003402	29.06	ENCFF016CBS
ENSG00000003436	14.01	ENCFF016CBS
ENSG00000003509	1.11	ENCFF016CBS
ENSG00000003756	19.64	ENCFF016CBS
ENSG00000003989	2.89	ENCFF016CBS
ENSG00000004059	7.41	ENCFF016CBS
ENSG00000004139	0.78	ENCFF016CBS
ENSG00000004142	4.56	ENCFF016CBS
ENSG00000004399	23.26	ENCFF016CBS
ENSG00000004455	9.49	ENCFF016CBS
ENSG00000004468	0.89	ENCFF016CBS
ENSG00000004478	1.88	ENCFF016CBS
ENSG00000004487	2.37	ENCFF016CBS
ENSG00000004534	8.75	ENCFF016CBS
ENSG00000004660	0.63	ENCFF016CBS
ENSG00000004700	2.65	ENCFF016CBS
ENSG00000004766	2.13	ENCFF016CBS
ENSG00000004776	12.91	ENCFF016CBS
ENSG00000004777	0.58	ENCFF016CBS
ENSG00000004779	3.09	ENCFF016CBS
ENSG00000004799	37.03	ENCFF016CBS
ENSG00000004864	3.26	ENCFF016CBS
ENSG00000004866	1.68	ENCFF016CBS
ENSG00000004897	5.22	ENCFF016CBS
ENSG00000004961	0.6	ENCFF016CBS
ENSG00000004975	2.65	ENCFF016CBS
ENSG00000005007	6.39	ENCFF016CBS
ENSG00000005020	2.8	ENCFF016CBS
ENSG00000005022	7.31	ENCFF016CBS
ENSG00000005059	1.29	ENCFF016CBS
ENSG00000005075	1.23	ENCFF016CBS
ENSG00000005100	0.65	ENCFF016CBS
ENSG00000005102	3.6	ENCFF016CBS
ENSG00000005108	0.78	ENCFF016CBS
ENSG00000005156	1.13	ENCFF016CBS
ENSG00000005175	0.88	ENCFF016CBS
ENSG00000005194	1.94	ENCFF016CBS
ENSG00000005206	2.71	ENCFF016CBS
ENSG00000005238	1.37	ENCFF016CBS
ENSG00000005243	2.79	ENCFF016CBS
ENSG00000005249	6.19	ENCFF016CBS
ENSG00000005302	2.92	ENCFF016CBS
ENSG00000005339	6.68	ENCFF016CBS
ENSG00000005436	1.78	ENCFF016CBS
ENSG00000005469	1.87	ENCFF016CBS
ENSG00000005483	7.27	ENCFF016CBS
ENSG00000005486	2.02	ENCFF016CBS
ENSG00000005700	1.53	ENCFF016CBS
ENSG00000005801	1.85	ENCFF016CBS
ENSG00000005810	17.03	ENCFF016CBS
ENSG00000005812	7.73	ENCFF016CBS
ENSG00000005844	1.28	ENCFF016CBS
ENSG00000005882	2.69	ENCFF016CBS
ENSG00000005884	1.81	ENCFF016CBS
ENSG00000005889	2.81	ENCFF016CBS
ENSG00000005893	7.82	ENCFF016CBS
ENSG00000006007	2.75	ENCFF016CBS
ENSG00000006015	8.11	ENCFF016CBS
ENSG00000006016	7.29	ENCFF016CBS
ENSG00000006025	0.88	ENCFF016CBS
ENSG00000006042	2.84	ENCFF016CBS
ENSG00000006062	0.73	ENCFF016CBS
ENSG00000006125	6.13	ENCFF016CBS
ENSG00000006194	2.06	ENCFF016CBS
ENSG00000006210	3.8	ENCFF016CBS
ENSG00000006282	4.14	ENCFF016CBS
ENSG00000006327	0.57	ENCFF016CBS
ENSG00000006451	1.7	ENCFF016CBS
ENSG00000006459	2.15	ENCFF016CBS
ENSG00000006468	0.56	ENCFF016CBS
ENSG00000006530	1.34	ENCFF016CBS
ENSG00000006534	1.3	ENCFF016CBS
ENSG00000006576	1.75	ENCFF016CBS
ENSG00000006607	2.37	ENCFF016CBS
ENSG00000006625	2.14	ENCFF016CBS
ENSG00000006634	0.82	ENCFF016CBS
ENSG00000006652	5.19	ENCFF016CBS
ENSG00000006695	0.98	ENCFF016CBS
ENSG00000006712	1.86	ENCFF016CBS
ENSG00000006715	2.85	ENCFF016CBS
ENSG00000006744	5.34	ENCFF016CBS
ENSG00000006756	1.38	ENCFF016CBS
ENSG00000006757	0.69	ENCFF016CBS
ENSG00000006831	5.85	ENCFF016CBS
ENSG00000007047	0.67	ENCFF016CBS
ENSG00000007080	2.21	ENCFF016CBS
ENSG00000007168	6.47	ENCFF016CBS
ENSG00000007202	7.93	ENCFF016CBS
ENSG00000007237	9.41	ENCFF016CBS
ENSG00000007255	1.32	ENCFF016CBS
ENSG00000007312	1.01	ENCFF016CBS
ENSG00000007314	2.76	ENCFF016CBS
ENSG00000007341	1.76	ENCFF016CBS
ENSG00000007376	0.86	ENCFF016CBS
ENSG00000007384	4.26	ENCFF016CBS
ENSG00000007392	7.33	ENCFF016CBS
ENSG00000007516	0.91	ENCFF016CBS
ENSG00000007520	5.0	ENCFF016CBS
ENSG00000007541	1.55	ENCFF016CBS
ENSG00000007545	0.74	ENCFF016CBS
ENSG00000007866	0.52	ENCFF016CBS
ENSG00000007923	1.9	ENCFF016CBS
ENSG00000007944	5.21	ENCFF016CBS
ENSG00000008018	11.9	ENCFF016CBS
ENSG00000008083	1.12	ENCFF016CBS
ENSG00000008086	0.54	ENCFF016CBS
ENSG00000008128	4.96	ENCFF016CBS
ENSG00000008130	6.95	ENCFF016CBS
ENSG00000008256	5.54	ENCFF016CBS
ENSG00000008282	7.63	ENCFF016CBS
ENSG00000008283	1.27	ENCFF016CBS
ENSG00000008294	8.99	ENCFF016CBS
ENSG00000008311	4.42	ENCFF016CBS
ENSG00000008323	1.06	ENCFF016CBS
ENSG00000008324	1.0	ENCFF016CBS
ENSG00000008394	24.42	ENCFF016CBS
ENSG00000008405	1.44	ENCFF016CBS
ENSG00000008441	3.38	ENCFF016CBS
ENSG00000008513	3.39	ENCFF016CBS
ENSG00000008516	2.47	ENCFF016CBS
ENSG00000008517	4.64	ENCFF016CBS
ENSG00000008710	13.64	ENCFF016CBS
ENSG00000008838	3.41	ENCFF016CBS
ENSG00000008853	0.94	ENCFF016CBS
ENSG00000008869	3.21	ENCFF016CBS
ENSG00000008952	4.35	ENCFF016CBS
ENSG00000008988	177.77	ENCFF016CBS
ENSG00000009307	55.97	ENCFF016CBS
ENSG00000009335	5.0	ENCFF016CBS
ENSG00000009413	7.05	ENCFF016CBS
ENSG00000009780	1.4	ENCFF016CBS
ENSG00000009790	0.57	ENCFF016CBS
ENSG00000009830	1.48	ENCFF016CBS
ENSG00000009844	1.75	ENCFF016CBS
ENSG00000009950	13.79	ENCFF016CBS
ENSG00000009954	3.44	ENCFF016CBS
ENSG00000010017	1.85	ENCFF016CBS
ENSG00000010072	1.27	ENCFF016CBS
ENSG00000010165	1.85	ENCFF016CBS
ENSG00000010219	0.94	ENCFF016CBS
ENSG00000010244	8.6	ENCFF016CBS
ENSG00000010256	17.94	ENCFF016CBS
ENSG00000010270	3.05	ENCFF016CBS
ENSG00000010278	4.28	ENCFF016CBS
ENSG00000010292	2.31	ENCFF016CBS
ENSG00000010295	3.19	ENCFF016CBS
ENSG00000010310	0.55	ENCFF016CBS
ENSG00000010318	0.99	ENCFF016CBS
ENSG00000010319	9.33	ENCFF016CBS
ENSG00000010322	5.25	ENCFF016CBS
ENSG00000010327	38.86	ENCFF016CBS
ENSG00000010361	1.07	ENCFF016CBS
ENSG00000010404	3.49	ENCFF016CBS
ENSG00000010539	0.66	ENCFF016CBS
ENSG00000010610	1.42	ENCFF016CBS
ENSG00000010671	0.69	ENCFF016CBS
ENSG00000010704	0.68	ENCFF016CBS
ENSG00000010803	1.26	ENCFF016CBS
ENSG00000010810	17.92	ENCFF016CBS
ENSG00000010818	1.48	ENCFF016CBS
ENSG00000011007	3.1	ENCFF016CBS
ENSG00000011009	2.29	ENCFF016CBS
ENSG00000011021	0.99	ENCFF016CBS
ENSG00000011028	5.24	ENCFF016CBS
ENSG00000011052	0.72	ENCFF016CBS
ENSG00000011105	2.7	ENCFF016CBS
ENSG00000011114	2.17	ENCFF016CBS
ENSG00000011132	1.53	ENCFF016CBS
ENSG00000011198	2.92	ENCFF016CBS
ENSG00000011243	8.95	ENCFF016CBS
ENSG00000011258	1.42	ENCFF016CBS
ENSG00000011260	1.56	ENCFF016CBS
ENSG00000011275	2.86	ENCFF016CBS
ENSG00000011295	4.63	ENCFF016CBS
ENSG00000011304	8.18	ENCFF016CBS
ENSG00000011376	0.73	ENCFF016CBS
ENSG00000011405	8.51	ENCFF016CBS
ENSG00000011422	2.32	ENCFF016CBS
ENSG00000011451	2.43	ENCFF016CBS
ENSG00000011454	4.99	ENCFF016CBS
ENSG00000011465	173.72	ENCFF016CBS
ENSG00000011485	3.38	ENCFF016CBS
ENSG00000011523	4.29	ENCFF016CBS
ENSG00000011566	4.53	ENCFF016CBS
ENSG00000011600	12.67	ENCFF016CBS
ENSG00000011638	3.85	ENCFF016CBS
ENSG00000012048	0.52	ENCFF016CBS
ENSG00000012061	5.08	ENCFF016CBS
ENSG00000012171	0.9	ENCFF016CBS
ENSG00000012174	0.79	ENCFF016CBS
ENSG00000012211	1.79	ENCFF016CBS
ENSG00000012223	0.59	ENCFF016CBS
ENSG00000012232	1.3	ENCFF016CBS
