gene_id	TPM	file_accession
ENSG00000000003	0.96	ENCFF862LZL
ENSG00000000419	7.97	ENCFF862LZL
ENSG00000000457	1.18	ENCFF862LZL
ENSG00000000938	0.8	ENCFF862LZL
ENSG00000000971	3.85	ENCFF862LZL
ENSG00000001036	2.88	ENCFF862LZL
ENSG00000001084	5.37	ENCFF862LZL
ENSG00000001167	1.79	ENCFF862LZL
ENSG00000001460	0.77	ENCFF862LZL
ENSG00000001461	6.51	ENCFF862LZL
ENSG00000001497	1.09	ENCFF862LZL
ENSG00000001561	4.47	ENCFF862LZL
ENSG00000001617	15.09	ENCFF862LZL
ENSG00000001629	3.41	ENCFF862LZL
ENSG00000001630	2.97	ENCFF862LZL
ENSG00000001631	7.95	ENCFF862LZL
ENSG00000002016	0.65	ENCFF862LZL
ENSG00000002330	17.76	ENCFF862LZL
ENSG00000002549	9.32	ENCFF862LZL
ENSG00000002586	41.93	ENCFF862LZL
ENSG00000002822	3.71	ENCFF862LZL
ENSG00000002834	12.0	ENCFF862LZL
ENSG00000002919	1.82	ENCFF862LZL
ENSG00000002933	7.36	ENCFF862LZL
ENSG00000003056	16.35	ENCFF862LZL
ENSG00000003096	0.95	ENCFF862LZL
ENSG00000003147	8.71	ENCFF862LZL
ENSG00000003249	2.56	ENCFF862LZL
ENSG00000003393	5.53	ENCFF862LZL
ENSG00000003400	1.2	ENCFF862LZL
ENSG00000003402	27.46	ENCFF862LZL
ENSG00000003436	6.42	ENCFF862LZL
ENSG00000003509	3.54	ENCFF862LZL
ENSG00000003756	9.06	ENCFF862LZL
ENSG00000003989	3.83	ENCFF862LZL
ENSG00000004059	31.44	ENCFF862LZL
ENSG00000004139	1.8	ENCFF862LZL
ENSG00000004142	30.88	ENCFF862LZL
ENSG00000004399	13.77	ENCFF862LZL
ENSG00000004455	30.19	ENCFF862LZL
ENSG00000004468	0.82	ENCFF862LZL
ENSG00000004478	4.96	ENCFF862LZL
ENSG00000004487	6.07	ENCFF862LZL
ENSG00000004534	5.02	ENCFF862LZL
ENSG00000004700	3.3	ENCFF862LZL
ENSG00000004766	2.1	ENCFF862LZL
ENSG00000004776	80.23	ENCFF862LZL
ENSG00000004779	69.76	ENCFF862LZL
ENSG00000004799	699.26	ENCFF862LZL
ENSG00000004864	1.56	ENCFF862LZL
ENSG00000004866	6.64	ENCFF862LZL
ENSG00000004897	7.01	ENCFF862LZL
ENSG00000004939	0.54	ENCFF862LZL
ENSG00000004961	3.84	ENCFF862LZL
ENSG00000004975	4.58	ENCFF862LZL
ENSG00000005007	13.51	ENCFF862LZL
ENSG00000005020	1.42	ENCFF862LZL
ENSG00000005022	20.41	ENCFF862LZL
ENSG00000005059	1.54	ENCFF862LZL
ENSG00000005075	7.1	ENCFF862LZL
ENSG00000005100	1.2	ENCFF862LZL
ENSG00000005102	3.84	ENCFF862LZL
ENSG00000005156	3.81	ENCFF862LZL
ENSG00000005175	1.79	ENCFF862LZL
ENSG00000005187	1.3	ENCFF862LZL
ENSG00000005189	0.8	ENCFF862LZL
ENSG00000005194	6.74	ENCFF862LZL
ENSG00000005206	2.88	ENCFF862LZL
ENSG00000005238	4.16	ENCFF862LZL
ENSG00000005243	6.32	ENCFF862LZL
ENSG00000005249	2.29	ENCFF862LZL
ENSG00000005302	2.65	ENCFF862LZL
ENSG00000005339	12.53	ENCFF862LZL
ENSG00000005379	1.47	ENCFF862LZL
ENSG00000005436	2.27	ENCFF862LZL
ENSG00000005448	0.8	ENCFF862LZL
ENSG00000005469	1.12	ENCFF862LZL
ENSG00000005471	0.65	ENCFF862LZL
ENSG00000005483	9.75	ENCFF862LZL
ENSG00000005486	6.67	ENCFF862LZL
ENSG00000005700	3.1	ENCFF862LZL
ENSG00000005801	1.33	ENCFF862LZL
ENSG00000005810	13.7	ENCFF862LZL
ENSG00000005812	8.0	ENCFF862LZL
ENSG00000005882	78.57	ENCFF862LZL
ENSG00000005884	3.93	ENCFF862LZL
ENSG00000005889	7.18	ENCFF862LZL
ENSG00000005893	12.79	ENCFF862LZL
ENSG00000005981	1.84	ENCFF862LZL
ENSG00000006007	14.41	ENCFF862LZL
ENSG00000006015	23.42	ENCFF862LZL
ENSG00000006016	7.91	ENCFF862LZL
ENSG00000006042	3.81	ENCFF862LZL
ENSG00000006062	3.17	ENCFF862LZL
ENSG00000006071	1.69	ENCFF862LZL
ENSG00000006118	1.57	ENCFF862LZL
ENSG00000006125	14.56	ENCFF862LZL
ENSG00000006194	3.0	ENCFF862LZL
ENSG00000006210	8.71	ENCFF862LZL
ENSG00000006282	11.29	ENCFF862LZL
ENSG00000006327	9.32	ENCFF862LZL
ENSG00000006451	3.45	ENCFF862LZL
ENSG00000006459	2.83	ENCFF862LZL
ENSG00000006468	6.02	ENCFF862LZL
ENSG00000006530	5.3	ENCFF862LZL
ENSG00000006534	1.2	ENCFF862LZL
ENSG00000006576	3.83	ENCFF862LZL
ENSG00000006607	3.5	ENCFF862LZL
ENSG00000006625	3.79	ENCFF862LZL
ENSG00000006634	0.84	ENCFF862LZL
ENSG00000006638	0.52	ENCFF862LZL
ENSG00000006652	3.32	ENCFF862LZL
ENSG00000006695	9.73	ENCFF862LZL
ENSG00000006704	6.47	ENCFF862LZL
ENSG00000006712	12.15	ENCFF862LZL
ENSG00000006715	1.75	ENCFF862LZL
ENSG00000006740	1.14	ENCFF862LZL
ENSG00000006744	18.31	ENCFF862LZL
ENSG00000006756	1.0	ENCFF862LZL
ENSG00000006757	10.01	ENCFF862LZL
ENSG00000006831	5.81	ENCFF862LZL
ENSG00000007047	4.51	ENCFF862LZL
ENSG00000007062	0.98	ENCFF862LZL
ENSG00000007080	15.73	ENCFF862LZL
ENSG00000007168	18.92	ENCFF862LZL
ENSG00000007202	17.11	ENCFF862LZL
ENSG00000007237	10.42	ENCFF862LZL
ENSG00000007255	3.65	ENCFF862LZL
ENSG00000007312	2.59	ENCFF862LZL
ENSG00000007341	3.25	ENCFF862LZL
ENSG00000007376	3.1	ENCFF862LZL
ENSG00000007384	4.9	ENCFF862LZL
ENSG00000007392	2.9	ENCFF862LZL
ENSG00000007520	17.24	ENCFF862LZL
ENSG00000007541	5.94	ENCFF862LZL
ENSG00000007545	1.74	ENCFF862LZL
ENSG00000007866	6.23	ENCFF862LZL
ENSG00000007923	7.25	ENCFF862LZL
ENSG00000007944	2.82	ENCFF862LZL
ENSG00000008018	43.76	ENCFF862LZL
ENSG00000008056	0.8	ENCFF862LZL
ENSG00000008083	1.36	ENCFF862LZL
ENSG00000008086	0.87	ENCFF862LZL
ENSG00000008128	1.4	ENCFF862LZL
ENSG00000008130	6.45	ENCFF862LZL
ENSG00000008256	7.94	ENCFF862LZL
ENSG00000008282	11.5	ENCFF862LZL
ENSG00000008283	1.15	ENCFF862LZL
ENSG00000008294	10.45	ENCFF862LZL
ENSG00000008311	3.88	ENCFF862LZL
ENSG00000008324	1.54	ENCFF862LZL
ENSG00000008382	1.48	ENCFF862LZL
ENSG00000008394	8.47	ENCFF862LZL
ENSG00000008405	3.05	ENCFF862LZL
ENSG00000008441	17.21	ENCFF862LZL
ENSG00000008513	40.83	ENCFF862LZL
ENSG00000008517	12.28	ENCFF862LZL
ENSG00000008710	70.53	ENCFF862LZL
ENSG00000008838	11.53	ENCFF862LZL
ENSG00000008853	13.55	ENCFF862LZL
ENSG00000008869	3.66	ENCFF862LZL
ENSG00000008952	4.73	ENCFF862LZL
ENSG00000008988	169.92	ENCFF862LZL
ENSG00000009307	210.25	ENCFF862LZL
ENSG00000009335	9.21	ENCFF862LZL
ENSG00000009413	1.75	ENCFF862LZL
ENSG00000009780	3.85	ENCFF862LZL
ENSG00000009830	1.81	ENCFF862LZL
ENSG00000009844	7.92	ENCFF862LZL
ENSG00000009950	1.35	ENCFF862LZL
ENSG00000009954	6.65	ENCFF862LZL
ENSG00000010017	4.46	ENCFF862LZL
ENSG00000010072	1.57	ENCFF862LZL
ENSG00000010165	2.21	ENCFF862LZL
ENSG00000010219	6.84	ENCFF862LZL
ENSG00000010244	9.53	ENCFF862LZL
ENSG00000010256	242.66	ENCFF862LZL
ENSG00000010270	4.61	ENCFF862LZL
ENSG00000010278	16.16	ENCFF862LZL
ENSG00000010282	87.32	ENCFF862LZL
ENSG00000010292	1.93	ENCFF862LZL
ENSG00000010295	2.14	ENCFF862LZL
ENSG00000010318	2.22	ENCFF862LZL
ENSG00000010319	4.65	ENCFF862LZL
ENSG00000010322	7.04	ENCFF862LZL
ENSG00000010327	6.57	ENCFF862LZL
ENSG00000010361	4.67	ENCFF862LZL
ENSG00000010404	11.24	ENCFF862LZL
ENSG00000010539	0.76	ENCFF862LZL
ENSG00000010626	1.48	ENCFF862LZL
ENSG00000010704	0.54	ENCFF862LZL
ENSG00000010803	9.0	ENCFF862LZL
ENSG00000010810	10.38	ENCFF862LZL
ENSG00000010818	4.89	ENCFF862LZL
ENSG00000011007	7.35	ENCFF862LZL
ENSG00000011009	8.58	ENCFF862LZL
ENSG00000011021	2.55	ENCFF862LZL
ENSG00000011028	3.28	ENCFF862LZL
ENSG00000011052	1.83	ENCFF862LZL
ENSG00000011105	8.23	ENCFF862LZL
ENSG00000011114	2.52	ENCFF862LZL
ENSG00000011132	4.59	ENCFF862LZL
ENSG00000011143	0.52	ENCFF862LZL
ENSG00000011198	5.72	ENCFF862LZL
ENSG00000011201	0.54	ENCFF862LZL
ENSG00000011243	11.55	ENCFF862LZL
ENSG00000011258	0.78	ENCFF862LZL
ENSG00000011260	1.9	ENCFF862LZL
ENSG00000011275	5.58	ENCFF862LZL
ENSG00000011295	7.52	ENCFF862LZL
ENSG00000011304	11.49	ENCFF862LZL
ENSG00000011347	2.81	ENCFF862LZL
ENSG00000011376	1.65	ENCFF862LZL
ENSG00000011405	8.36	ENCFF862LZL
ENSG00000011422	1.38	ENCFF862LZL
ENSG00000011451	8.73	ENCFF862LZL
ENSG00000011454	5.0	ENCFF862LZL
ENSG00000011465	186.85	ENCFF862LZL
ENSG00000011485	18.46	ENCFF862LZL
ENSG00000011523	3.74	ENCFF862LZL
ENSG00000011566	4.21	ENCFF862LZL
ENSG00000011600	2.15	ENCFF862LZL
ENSG00000011638	53.42	ENCFF862LZL
ENSG00000012048	1.81	ENCFF862LZL
ENSG00000012061	19.34	ENCFF862LZL
ENSG00000012171	2.3	ENCFF862LZL
ENSG00000012174	1.39	ENCFF862LZL
ENSG00000012211	1.33	ENCFF862LZL
ENSG00000012223	0.68	ENCFF862LZL
ENSG00000012232	10.82	ENCFF862LZL
ENSG00000012660	3.38	ENCFF862LZL
ENSG00000012779	1.95	ENCFF862LZL
ENSG00000012822	56.33	ENCFF862LZL
ENSG00000012963	3.33	ENCFF862LZL
ENSG00000012983	6.95	ENCFF862LZL
ENSG00000013016	4.98	ENCFF862LZL
ENSG00000013275	18.04	ENCFF862LZL
ENSG00000013288	2.65	ENCFF862LZL
ENSG00000013297	0.62	ENCFF862LZL
ENSG00000013306	8.84	ENCFF862LZL
ENSG00000013364	15.48	ENCFF862LZL
ENSG00000013374	7.58	ENCFF862LZL
ENSG00000013375	1.2	ENCFF862LZL
ENSG00000013441	4.6	ENCFF862LZL
ENSG00000013503	1.03	ENCFF862LZL
ENSG00000013523	2.22	ENCFF862LZL
ENSG00000013561	15.5	ENCFF862LZL
ENSG00000013563	17.75	ENCFF862LZL
ENSG00000013573	1.35	ENCFF862LZL
ENSG00000013583	6.2	ENCFF862LZL
ENSG00000013588	0.56	ENCFF862LZL
ENSG00000013810	0.96	ENCFF862LZL
ENSG00000014123	3.17	ENCFF862LZL
ENSG00000014138	1.72	ENCFF862LZL
ENSG00000014164	2.02	ENCFF862LZL
ENSG00000014216	15.57	ENCFF862LZL
ENSG00000014641	188.55	ENCFF862LZL
ENSG00000014824	7.83	ENCFF862LZL
ENSG00000014919	5.72	ENCFF862LZL
ENSG00000015133	1.42	ENCFF862LZL
ENSG00000015153	5.05	ENCFF862LZL
ENSG00000015171	10.67	ENCFF862LZL
ENSG00000015475	4.45	ENCFF862LZL
ENSG00000015479	21.61	ENCFF862LZL
ENSG00000015532	3.08	ENCFF862LZL
ENSG00000015568	1.35	ENCFF862LZL
ENSG00000015676	12.82	ENCFF862LZL
ENSG00000016391	2.12	ENCFF862LZL
ENSG00000016864	6.47	ENCFF862LZL
ENSG00000017260	8.79	ENCFF862LZL
ENSG00000017427	2.36	ENCFF862LZL
ENSG00000017797	9.87	ENCFF862LZL
ENSG00000018189	2.33	ENCFF862LZL
ENSG00000018280	1.62	ENCFF862LZL
ENSG00000018408	11.5	ENCFF862LZL
ENSG00000018510	2.74	ENCFF862LZL
ENSG00000018610	1.41	ENCFF862LZL
ENSG00000018625	62.97	ENCFF862LZL
ENSG00000018699	1.43	ENCFF862LZL
ENSG00000018869	0.56	ENCFF862LZL
ENSG00000019144	21.06	ENCFF862LZL
ENSG00000019169	1.35	ENCFF862LZL
ENSG00000019485	4.75	ENCFF862LZL
ENSG00000019505	0.66	ENCFF862LZL
ENSG00000019549	1.02	ENCFF862LZL
ENSG00000019582	46.52	ENCFF862LZL
ENSG00000019991	0.61	ENCFF862LZL
ENSG00000019995	4.38	ENCFF862LZL
ENSG00000020129	5.79	ENCFF862LZL
ENSG00000020181	3.08	ENCFF862LZL
ENSG00000020256	1.9	ENCFF862LZL
ENSG00000020426	4.33	ENCFF862LZL
