chr	start	end	geneID	geneName
1	975204	982093	ENSG00000187642	PERM1
1	1070966	1074307	ENSG00000237330	RNF223
1	1167104	1167198	ENSG00000207730	MIR200B
1	1167863	1167952	ENSG00000207607	MIR200A
1	1211326	1214138	ENSG00000186827	TNFRSF4
1	1216908	1232031	ENSG00000078808	SDF4
1	1232226	1235041	ENSG00000176022	B3GALT6
1	1242446	1246722	ENSG00000184163	C1QTNF12
1	1253909	1273885	ENSG00000160087	UBE2J2
1	1280436	1292029	ENSG00000162572	SCNN1D
1	1292376	1309609	ENSG00000131584	ACAP3
1	1308567	1311677	ENSG00000169972	PUSL1
1	1311585	1324691	ENSG00000127054	INTS11
1	1324756	1328897	ENSG00000224051	CPTP
1	1331314	1335306	ENSG00000169962	TAS1R3
1	1335276	1349350	ENSG00000107404	DVL1
1	1352689	1361777	ENSG00000162576	MXRA8
1	1373730	1375495	ENSG00000175756	AURKAIP1
1	1385711	1399328	ENSG00000221978	CCNL2
1	1405460	1405752	ENSG00000264293	RN7SL657P
1	1418420	1421769	ENSG00000235098	ANKRD65
1	1434861	1442882	ENSG00000179403	VWA1
1	1535174	1540453	ENSG00000205090	TMEM240
1	1541673	1574869	ENSG00000160075	SSU72
1	1598012	1600096	ENSG00000228594	FNDC10
1	1615415	1630610	ENSG00000197530	MIB2
1	1632095	1635263	ENSG00000189409	MMP23B
1	1659529	1692728	ENSG00000189339	SLC35E2B
1	1751232	1780457	ENSG00000008130	NADK
1	1785285	1891117	ENSG00000078369	GNB1
1	1914827	1917296	ENSG00000169885	CALML6
1	1917590	1919273	ENSG00000178821	TMEM52
1	1921951	2003837	ENSG00000142609	CFAP74
1	2228695	2310119	ENSG00000157933	SKI
1	2321253	2391707	ENSG00000116151	MORN1
1	2391775	2405444	ENSG00000157916	RER1
1	2403964	2413797	ENSG00000157911	PEX10
1	2425980	2505530	ENSG00000149527	PLCH2
1	2555639	2565382	ENSG00000157873	TNFRSF14
1	2590639	2632990	ENSG00000142606	MMEL1
1	3021483	3022903	ENSG00000169717	ACTRT2
